date,failed,ankur,sahebaz
2020-01-02,77.44539475,2,3
2020-01-03,77.04557544,2,3
2020-01-06,74.89697204,2,3
2020-01-07,75.856461,2,3
2020-01-08,75.09194679,2,3
2020-01-09,76.20263178,2,3
2020-01-10,75.2301837,2,3
2020-01-13,73.84891755,2,3
2020-01-14,75.0113527,2,3
2020-01-15,77.14481412,2,3
2020-01-16,77.33058367,2,3
2020-01-17,76.85652616,2,3
2020-01-21,75.39394758,2,3
2020-01-22,76.7763823,2,3
2020-01-23,76.64038513,2,3
2020-01-24,77.20512022,2,3
2020-01-27,76.66007339,2,3
2020-01-28,70.90497216,2,3
2020-01-29,70.23598702,2,3
2020-01-30,70.03463724,2,3
2020-01-31,69.00470795,2,3
2020-02-03,70.04050186,2,3
2020-02-04,70.50025256,2,3
2020-02-05,70.599595,2,3
2020-02-06,71.50652865,2,3
2020-02-07,73.09834283,2,3
2020-02-10,72.71181988,2,3
2020-02-11,74.38994589,2,3
2020-02-12,75.2743945,2,3
2020-02-13,74.9602296,2,3
2020-02-14,76.05688873,2,3
2020-02-18,76.55140204,2,3
2020-02-19,76.37468597,2,3
2020-02-20,74.7279776,2,3
2020-02-21,74.69710728,2,3
2020-02-24,73.34314093,2,3
2020-02-25,74.21622457,2,3
2020-02-26,73.40762211,2,3
2020-02-27,72.50368071,2,3
2020-02-28,74.17817422,2,3
2020-03-03,73.38154805,2,3
2020-03-04,74.44635193,2,3
2020-03-05,74.43810354,2,3
2020-03-06,74.69600358,2,3
2020-03-07,74.46113283,2,3
2020-03-10,74.07111203,2,3
2020-03-11,75.07027178,2,3
2020-03-12,74.93559065,2,3
2020-03-13,75.35199472,2,3
2020-03-14,74.13480798,2,3
2020-03-17,73.98459392,2,3
2020-03-18,73.7289236,2,3
2020-03-19,74.62019501,2,3
2020-03-20,74.28682958,2,3
2020-03-21,74.57820913,2,3
2020-03-24,75.48205234,2,3
2020-03-25,75.92068662,2,3
2020-03-26,76.62498351,2,3
2020-03-27,75.70890299,2,3
2020-03-28,75.47469806,2,3
2020-03-31,75.5990936,2,3
2020-04-01,75.39461719,2,3
2020-04-02,76.03616773,2,3
2020-04-03,75.90452792,2,3
2020-04-04,75.68018051,2,3
2020-04-07,74.02790571,2,3
2020-04-08,73.62532898,2,3
2020-04-09,73.27327651,2,3
2020-04-10,74.39941392,2,3
2020-04-11,72.7644772,2,3
2020-04-14,73.1708442,2,3
2020-04-15,72.94387096,2,3
2020-04-16,72.62541762,2,3
2020-04-17,72.897474,2,3
2020-04-21,73.65263437,2,3
2020-04-22,74.06474967,2,3
2020-04-23,74.17426241,2,3
2020-04-24,79.66168695,2,3
2020-04-25,79.14119558,2,3
2020-04-28,80.30519282,2,3
2020-04-29,83.23767089,2,3
2020-04-30,83.08750733,2,3
2020-05-01,82.99289917,2,3
2020-05-02,83.04635189,2,3
2020-05-05,82.73311868,2,3
2020-05-06,84.3659999,2,3
2020-05-07,83.449361,2,3
2020-05-08,82.92665266,2,3
2020-05-09,82.40901903,2,3
2020-05-12,82.82714134,2,3
2020-05-13,83.46187012,2,3
2020-05-14,83.516998,2,3
2020-05-15,83.83894399,2,3
2020-05-16,82.98805242,2,3
2020-05-19,84.28974015,2,3
2020-05-20,85.22180467,2,3
2020-05-21,85.13035972,2,3
2020-05-22,85.51554663,2,3
2020-05-23,85.61005813,2,3
2020-05-27,86.82546553,2,3
2020-05-28,88.25336036,2,3
2020-05-29,88.51837168,2,3
2020-05-30,89.94207773,2,3
2020-06-02,89.37862849,2,3
2020-06-03,88.59990714,2,3
2020-06-04,89.8695301,2,3
2020-06-05,91.09787905,2,3
2020-06-06,91.62042691,2,3
2020-06-09,91.483127,2,3
2020-06-10,93.48368488,2,3
2020-06-11,92.89646175,2,3
2020-06-12,92.80705602,2,3
2020-06-13,90.98790535,2,3
2020-06-16,90.30905531,2,3
2020-06-17,91.09697763,2,3
